,year,game_title,owner,owner_after_merger,watch_time_min,stream_time_min,peak_viewers,peak_channels,streamers,avg_viewers,avg_channels,avg_viewer_ratio
1,2021,Fortnite,Epic Games,Epic Games,57990846840,3766368540,1270408,88824,2768910,110345,7166,15.4
2,2021,Apex Legends,Respawn Entertainment,Respawn Entertainment,41389060020,2646501300,411397,15613,1435470,78755,5035,15.64
3,2021,Call of Duty: Modern Warfare,Activision Blizzard,Microsoft,5824225800,2510967420,63985,35271,1550123,11082,4777,2.32
5,2021,League of Legends,Riot Games Inc.,Riot Games Inc.,1.04E+11,2278501800,3087270,11606,1098600,198157,4335,45.71
6,2021,VALORANT,Riot Games Inc.,Riot Games Inc.,57049331580,2217489180,1047665,8565,1330209,108553,4219,25.73
7,2021,Call of Duty: Warzone,Activision Blizzard,Microsoft,51088882320,2081422560,1654695,22657,861053,97212,3960,24.55
8,2021,Minecraft,Microsoft,Microsoft,51800940000,1968850260,973241,9892,2140535,98567,3746,26.31
9,2021,Grand Theft Auto V,Rockstar Games Inc.,Rockstar Games Inc.,1.12E+11,1527914100,1154832,7043,1133175,214064,2907,73.63
10,2021,Dead by Daylight,Behaviour Interactive,Behaviour Interactive,17653259400,1017703860,257714,5154,568420,33590,1936,17.35
11,2021,Counter-Strike: Global Offensive,Hidden Path Entertainment,Hidden Path Entertainment,46050444000,890860440,1933313,4598,751423,87625,1695,51.69
12,2021,World of Warcraft,Activision Blizzard,Microsoft,21855501000,825541800,434559,8423,258300,41586,1570,26.47
13,2021,Rocket League,Epic Games,Epic Games,12007187880,718982100,262428,3996,1120263,22847,1368,16.7
15,2021,Call of Duty: Black Ops Cold War,Activision Blizzard,Microsoft,4147684860,633646440,140677,4849,603482,7892,1205,6.55
16,2021,Escape from Tarkov,Battlestate Games,Battlestate Games,24225109140,633498060,475913,6148,201253,46095,1205,38.24
17,2021,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft Montreal,11689379820,602009460,272726,3639,637046,22242,1145,19.42
19,2021,Dota 2,Valve Corp.,Valve Corp.,34709057880,495739560,1690706,1949,170880,66044,943,70.01
20,2021,Overwatch,Activision Blizzard,Microsoft,7880930940,490875000,111132,2362,387396,14995,934,16.05
21,2021,Destiny 2,Sony,Sony,5452899480,453895140,287418,18053,263138,10375,863,12.01
23,2021,FIFA 21,EA Sports,EA Sports,14891387280,410850180,837094,7733,441221,28335,781,36.25
24,2021,PUBG: BATTLEGROUNDS,Krafton Inc.,Krafton Inc.,9302530560,400305120,194238,1538,195878,17700,761,23.24
25,2021,FINAL FANTASY XIV ONLINE,Square Enix,Square Enix,6475210380,329896080,222086,5406,138306,12321,627,19.63
27,2021,NBA 2K21,2K,2K,2856330780,293355180,81377,1986,269228,5435,558,9.74
28,2021,Rust,Facepunch Studios Ltd,Facepunch Studios Ltd,22094518260,286266120,1373791,3249,234341,42041,544,77.18
29,2021,Phasmophobia,Kinetic Games,Kinetic Games,3422250420,279269820,173802,3728,474656,6511,531,12.25
30,2021,Sea of Thieves,Microsoft,Microsoft,4132413900,271102020,204698,5144,286987,7863,515,15.24
31,2021,ROBLOX,Roblox Coporation,Roblox Coporation,2362821000,270553080,999409,1407,463783,4495,514,8.73
32,2021,Valheim,Iron Gate Studio,Iron Gate Studio,3706573860,228440940,220179,5331,227252,7052,434,16.23
35,2021,Teamfight Tactics,Riot Games Inc.,Riot Games Inc.,12171784320,197870700,139836,1713,189796,23160,376,61.51
36,2021,Call of Duty: Vanguard,Activision Blizzard,Microsoft,2829402000,195200640,329920,15131,219092,5383,371,14.49
37,2021,ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,2969519160,190332420,405649,1446,169088,5650,362,15.6
38,2021,Red Dead Redemption 2,Rockstar Games,Rockstar Games,1630987680,176961000,41489,1029,185639,3103,336,9.22
39,2021,FIFA 22,EA Sports,EA Sports,9619760220,175457580,515344,5044,208742,18304,333,54.83
40,2021,Among Us,Innersloth,Innersloth,8308535220,169945800,697975,4332,455837,15809,323,48.89
42,2021,SMITE,Hi-Rez Studios,Hi-Rez Studios,4084001820,150634860,97040,873,93633,7771,286,27.11
43,2021,Path of Exile,Grinding Gear Games,Grinding Gear Games,8095866660,147622740,320831,4123,60522,15404,280,54.84
44,2021,DayZ,Bohemia Interactive,Bohemia Interactive,3722271420,144075720,297130,682,98974,7082,274,25.84
45,2021,Resident Evil Village,Capcom,Capcom,3667241460,136003020,658445,15117,201492,6978,258,26.96
46,2021,Call of Duty: Mobile,Activision Blizzard,Microsoft,774876960,130411920,59383,618,126163,1474,248,5.94
47,2021,Fall Guys,Epic Games,Epic Games,3408155880,126992940,320033,1356,289248,6485,241,26.84
49,2021,NBA 2K22,2K,2K,1699326180,125608440,159548,7211,100691,3233,239,13.53
50,2021,Hunt: Showdown,Crytek,Crytek,2125404660,125370360,86051,738,71930,4044,238,16.95
1,2022,Fortnite,Epic Games,Epic Games,57990846840,3766368540,1270408,88824,2768910,110345,7166,15.4
2,2022,Apex Legends,Respawn Entertainment,Respawn Entertainment,41389060020,2646501300,411397,15613,1435470,78755,5035,15.64
3,2022,Call of Duty: Modern Warfare,Activision Blizzard,Microsoft,5824225800,2510967420,63985,35271,1550123,11082,4777,2.32
5,2022,League of Legends,Riot Games Inc.,Riot Games Inc.,1.04E+11,2278501800,3087270,11606,1098600,198157,4335,45.71
6,2022,VALORANT,Riot Games Inc.,Riot Games Inc.,57049331580,2217489180,1047665,8565,1330209,108553,4219,25.73
7,2022,Call of Duty: Warzone,Activision Blizzard,Microsoft,51088882320,2081422560,1654695,22657,861053,97212,3960,24.55
8,2022,Minecraft,Microsoft,Microsoft,51800940000,1968850260,973241,9892,2140535,98567,3746,26.31
9,2022,Grand Theft Auto V,Rockstar Games Inc.,Rockstar Games Inc.,1.12E+11,1527914100,1154832,7043,1133175,214064,2907,73.63
10,2022,Dead by Daylight,Behaviour Interactive,Behaviour Interactive,17653259400,1017703860,257714,5154,568420,33590,1936,17.35
11,2022,Counter-Strike: Global Offensive,Hidden Path Entertainment,Hidden Path Entertainment,46050444000,890860440,1933313,4598,751423,87625,1695,51.69
12,2022,World of Warcraft,Activision Blizzard,Microsoft,21855501000,825541800,434559,8423,258300,41586,1570,26.47
13,2022,Rocket League,Epic Games,Epic Games,12007187880,718982100,262428,3996,1120263,22847,1368,16.7
15,2022,Call of Duty: Black Ops Cold War,Activision Blizzard,Microsoft,4147684860,633646440,140677,4849,603482,7892,1205,6.55
16,2022,Escape from Tarkov,Battlestate Games,Battlestate Games,24225109140,633498060,475913,6148,201253,46095,1205,38.24
17,2022,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft Montreal,11689379820,602009460,272726,3639,637046,22242,1145,19.42
18,2022,Genshin Impact,miHoYo,miHoYo,9673457520,505464600,627344,5476,391419,18406,961,19.14
19,2022,Dota 2,Valve Corp.,Valve Corp.,34709057880,495739560,1690706,1949,170880,66044,943,70.01
20,2022,Overwatch,Activision Blizzard,Microsoft,7880930940,490875000,111132,2362,387396,14995,934,16.05
21,2022,Destiny 2,Sony,Sony,5452899480,453895140,287418,18053,263138,10375,863,12.01
23,2022,FIFA 21,EA Sports,EA Sports,14891387280,410850180,837094,7733,441221,28335,781,36.25
24,2022,PUBG: BATTLEGROUNDS,Krafton Inc.,Krafton Inc.,9302530560,400305120,194238,1538,195878,17700,761,23.24
25,2022,FINAL FANTASY XIV ONLINE,Square Enix,Square Enix,6475210380,329896080,222086,5406,138306,12321,627,19.63
27,2022,NBA 2K21,2K,2K,2856330780,293355180,81377,1986,269228,5435,558,9.74
28,2022,Rust,Facepunch Studios Ltd,Facepunch Studios Ltd,22094518260,286266120,1373791,3249,234341,42041,544,77.18
29,2022,Phasmophobia,Kinetic Games,Kinetic Games,3422250420,279269820,173802,3728,474656,6511,531,12.25
30,2022,Sea of Thieves,Microsoft,Microsoft,4132413900,271102020,204698,5144,286987,7863,515,15.24
31,2022,ROBLOX,Roblox Coporation,Roblox Coporation,2362821000,270553080,999409,1407,463783,4495,514,8.73
32,2022,Valheim,Iron Gate Studio,Iron Gate Studio,3706573860,228440940,220179,5331,227252,7052,434,16.23
35,2022,Teamfight Tactics,Riot Games Inc.,Riot Games Inc.,12171784320,197870700,139836,1713,189796,23160,376,61.51
36,2022,Call of Duty: Vanguard,Activision Blizzard,Microsoft,2829402000,195200640,329920,15131,219092,5383,371,14.49
37,2022,ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,2969519160,190332420,405649,1446,169088,5650,362,15.6
38,2022,Red Dead Redemption 2,Rockstar Games,Rockstar Games,1630987680,176961000,41489,1029,185639,3103,336,9.22
39,2022,FIFA 22,EA Sports,EA Sports,9619760220,175457580,515344,5044,208742,18304,333,54.83
40,2022,Among Us,Innersloth,Innersloth,8308535220,169945800,697975,4332,455837,15809,323,48.89
42,2022,SMITE,Hi-Rez Studios,Hi-Rez Studios,4084001820,150634860,97040,873,93633,7771,286,27.11
43,2022,Path of Exile,Grinding Gear Games,Grinding Gear Games,8095866660,147622740,320831,4123,60522,15404,280,54.84
44,2022,DayZ,Bohemia Interactive,Bohemia Interactive,3722271420,144075720,297130,682,98974,7082,274,25.84
45,2022,Resident Evil Village,Capcom,Capcom,3667241460,136003020,658445,15117,201492,6978,258,26.96
46,2022,Call of Duty: Mobile,Activision Blizzard,Microsoft,774876960,130411920,59383,618,126163,1474,248,5.94
47,2022,Fall Guys,Epic Games,Epic Games,3408155880,126992940,320033,1356,289248,6485,241,26.84
49,2022,NBA 2K22,2K,2K,1699326180,125608440,159548,7211,100691,3233,239,13.53
50,2022,Hunt: Showdown,Crytek,Crytek,2125404660,125370360,86051,738,71930,4044,238,16.95
1,2023,Fortnite,Epic Games,Epic Games,37248402060,2634680700,1024567,60854,4009545,70876,5013,14.14
2,2023,VALORANT,Riot Games Inc.,Riot Games Inc.,69586121040,2588534580,1197406,13550,1837811,132408,4925,26.88
